type,category,title,link
classical_art,Abstract,"Fleurs, Texte Et Vingt-Six Planches En Couleurs Pl 11 (1929) ",https://artvee.com/dl/fleurs-texte-et-vingt-six-planches-en-couleurs-pl-11/
classical_art,Abstract,"Schets voor een portret van mevrouw De Carnière-Wouters, echtgenote van de kunstenaar (1892 - 1916) ",https://artvee.com/dl/schets-voor-een-portret-van-mevrouw-de-carniere-wouters-echtgenote-van-de-kunstenaar/
classical_art,Abstract,Lamentation of Christ (1940) ,https://artvee.com/dl/lamentation-of-christ-2/
classical_art,Abstract,One Who Understands (1934) ,https://artvee.com/dl/one-who-understands/
classical_art,Abstract,Freundliches Gewinde  (Friendly Meandering) (1933) ,https://artvee.com/dl/freundliches-gewinde-friendly-meandering/
classical_art,Abstract,"Der Tod eines Menschen, gleichzeitig im Flugzeug und der Eisenbahn (1913) ",https://artvee.com/dl/der-tod-eines-menschen-gleichzeitig-im-flugzeug-und-der-eisenbahn/
classical_art,Abstract,Bench in the Woods II (Bank im Walde II) (1917) ,https://artvee.com/dl/bench-in-the-woods-ii-bank-im-walde-ii/
classical_art,Abstract,"Ontwerpschets voor Paul Fierens ‘l’Art Hollandais contemporain’; twee mannen hoofden, en profil afgebeeld, van elkaar weg kijkend. (1933) ",https://artvee.com/dl/ontwerpschets-voor-paul-fierens-lart-hollandais-contemporain-twee-mannen-hoofden-en-profil-afgebeeld-van-elkaar-weg-kijkend/
classical_art,Abstract,Pad door een landschap (c. 1884 - c. 1887) ,https://artvee.com/dl/pad-door-een-landschap/
classical_art,Abstract,"Group X, No. 2, Altarpiece (1915) ",https://artvee.com/dl/group-x-no-2-altarpiece/
classical_art,Abstract,Mountain and Sky (circa 1925) ,https://artvee.com/dl/mountain-and-sky/
classical_art,Abstract,Decoratief ornament met vier leeuwen met twee koppen (1874) ,https://artvee.com/dl/decoratief-ornament-met-vier-leeuwen-met-twee-koppen/
classical_art,Abstract,Cat and Mouse (1912-1913) ,https://artvee.com/dl/cat-and-mouse/
classical_art,Abstract,Bei Clarens am Genfer See (1924) ,https://artvee.com/dl/bei-clarens-am-genfer-see/
classical_art,Abstract,Marsh (1923) ,https://artvee.com/dl/marsh/
classical_art,Abstract,Truncated Pyramids (1946) ,https://artvee.com/dl/truncated-pyramids/
classical_art,Abstract,Le Jardin de la Closerie des Genêts (circa 1920-24) ,https://artvee.com/dl/le-jardin-de-la-closerie-des-genets/
